品目コード,領域,種別,機種,名称,保管場所,備考
0101001001,PA,Speaker,d&b Q1*2_No1,ラインアレイスピーカー,2nd,
0101001002,PA,Speaker,d&b Q1*2_No2,ラインアレイスピーカー,2nd,
0101001003,PA,Speaker,d&b Q1*2_No3,ラインアレイスピーカー,2nd,
0101001004,PA,Speaker,d&b Q1*2_No4,ラインアレイスピーカー,2nd,
0101001005,PA,Speaker,d&b Q1*2_No5,ラインアレイスピーカー,2nd,
0101001006,PA,Speaker,d&b Q1*2_No6,ラインアレイスピーカー,2nd,
0101002001,PA,Speaker,d&b Q7_No1,スピーカー,2nd,
0101002002,PA,Speaker,d&b Q7_No2,スピーカー,2nd,
0101003001,PA,Speaker,d&b JSUB_No1,サブウーファー,2nd,
0101003002,PA,Speaker,d&b JSUB_No2,サブウーファー,2nd,
0101004001,PA,Speaker,d&b QSUB_No1,サブウーファー,2nd,
0101004002,PA,Speaker,d&b QSUB_No2,サブウーファー,2nd,
0101004003,PA,Speaker,d&b QSUB_No3,サブウーファー,2nd,
0101004004,PA,Speaker,d&b QSUB_No4,サブウーファー,2nd,
0101004005,PA,Speaker,d&b QSUB_No5,サブウーファー,2nd,
0101004006,PA,Speaker,d&b QSUB_No6,サブウーファー,2nd,
0101004007,PA,Speaker,d&b QSUB_No7,サブウーファー,2nd,
0101004008,PA,Speaker,d&b QSUB_No8,サブウーファー,2nd,
0101005001,PA,Speaker,d&b MAX_No1,スピーカー,2nd,
0101005002,PA,Speaker,d&b MAX_No2,スピーカー,2nd,
0101006001,PA,Speaker,d&b Ci90*2,スピーカー,2nd,
0101007001,PA,Speaker,d&b E3*2_No1,スピーカー 2台入り,2nd,
0101007002,PA,Speaker,d&b E3*2_No2,スピーカー 2台入り,2nd,
0101008001,PA,Speaker,RCF EVOX12 Hi_No1,パワードスピーカー Hi,2nd,
0101008002,PA,Speaker,RCF EVOX12 Low_No1,パワードスピーカー Low,2nd,
0101008003,PA,Speaker,RCF EVOX12 Hi_No2,パワードスピーカー Hi,2nd,
0101008004,PA,Speaker,RCF EVOX12 Low_No2,パワードスピーカー Low,2nd,
0101009001,PA,Speaker,"NEXO PS15*2_No1,2",スピーカー 2台入り,2nd,
0101009002,PA,Speaker,"NEXO PS15*2_No3,4",スピーカー 2台入り,2nd,
0101010001,PA,Speaker,NEXO PS10_No1,スピーカー,1st,
0101010002,PA,Speaker,NEXO PS10_No2,スピーカー,1st,
0101010003,PA,Speaker,NEXO PS10_No3,スピーカー,1st,
0101010004,PA,Speaker,NEXO PS10_No4,スピーカー,1st,
0101010005,PA,Speaker,NEXO PS10_No5,スピーカー,1st,
0101010006,PA,Speaker,NEXO PS10_No6_※傾き有り,スピーカー,1st,
0101010007,PA,Speaker,NEXO PS10_No7,スピーカー,1st,
0101010008,PA,Speaker,NEXO PS10_No8,スピーカー,1st,
0101011001,PA,Speaker,"NEXO PS8*2_No1,2(No1音おかしい）",スピーカー,1st,
0101011002,PA,Speaker,"NEXO PS8*2_No3,4",スピーカー,1st,
0101011003,PA,Speaker,"NEXO PS8*2_No5,6",スピーカー,1st,
0101011004,PA,Speaker,"NEXO PS8*2_No7,8",スピーカー,1st,
0101012001,PA,Speaker,NEXO P12_No1,スピーカー,1st,
0101012002,PA,Speaker,NEXO P12_No2,スピーカー,1st,
0101012003,PA,Speaker,NEXO P12_No3,スピーカー,1st,
0101012004,PA,Speaker,NEXO P12_No4,スピーカー,1st,
0101012005,PA,Speaker,NEXO P12_No5,スピーカー,1st,
0101012006,PA,Speaker,NEXO P12_No6,スピーカー,1st,
0101012007,PA,Speaker,NEXO P12_No7,スピーカー,1st,
0101012008,PA,Speaker,NEXO P12_No8,スピーカー,1st,
0101013001,PA,Speaker,NEXO LS500_No1,スピーカー,2nd,
0101013002,PA,Speaker,NEXO LS500_No2,スピーカー,2nd,
0101014001,PA,Speaker,JBL Control28*2_No1,スピーカー,2nd,
0101014002,PA,Speaker,JBL Control28*2_No2,スピーカー,2nd,
0101014003,PA,Speaker,JBL Control28*2_No3,スピーカー,2nd,
0101014004,PA,Speaker,JBL Control28*2_No4,スピーカー,2nd,
0101014005,PA,Speaker,JBL Control28*2_No5,スピーカー,2nd,
0101015001,PA,Speaker,YAMAHA DXR12_No1,パワードスピーカー,1st,
0101015002,PA,Speaker,YAMAHA DXR12_No2,パワードスピーカー,1st,
0101016001,PA,Speaker,YAMAHA DXR10_No1,パワードスピーカー,1st,
0101016002,PA,Speaker,YAMAHA DXR10_No2,パワードスピーカー,1st,
0101017001,PA,Speaker,YAMAHA DXR8_No1,パワードスピーカー,1st,
0101017002,PA,Speaker,YAMAHA DXR8_No2,パワードスピーカー,1st,
